date,security,price
2023-03-01,3bb7355a-efe6-440e-84be-eee7cac73ba2,720
2023-03-01,afc803dc-c919-4bb1-b35d-d506f460cfe4,1190
2023-03-02,5b70a7f4-1978-4e1f-820f-5684230521cc,1030
2023-03-02,3bb7355a-efe6-440e-84be-eee7cac73ba2,722
2023-03-02,afc803dc-c919-4bb1-b35d-d506f460cfe4,1193
2023-03-03,5b70a7f4-1978-4e1f-820f-5684230521cc,1030
2023-03-03,3bb7355a-efe6-440e-84be-eee7cac73ba2,722
2023-03-03,afc803dc-c919-4bb1-b35d-d506f460cfe4,1193
2023-03-04,5b70a7f4-1978-4e1f-820f-5684230521cc,1030
2023-03-04,3bb7355a-efe6-440e-84be-eee7cac73ba2,722
2023-03-04,afc803dc-c919-4bb1-b35d-d506f460cfe4,1193
2023-03-05,5b70a7f4-1978-4e1f-820f-5684230521cc,1031
2023-03-05,3bb7355a-efe6-440e-84be-eee7cac73ba2,723
2023-03-05,afc803dc-c919-4bb1-b35d-d506f460cfe4,1194
2023-03-06,5b70a7f4-1978-4e1f-820f-5684230521cc,1038
2023-03-06,3bb7355a-efe6-440e-84be-eee7cac73ba2,728
2023-03-06,afc803dc-c919-4bb1-b35d-d506f460cfe4,1203
2023-03-07,5b70a7f4-1978-4e1f-820f-5684230521cc,1035
2023-03-07,3bb7355a-efe6-440e-84be-eee7cac73ba2,726
2023-03-07,afc803dc-c919-4bb1-b35d-d506f460cfe4,1199
2023-03-08,5b70a7f4-1978-4e1f-820f-5684230521cc,1039
2023-03-08,3bb7355a-efe6-440e-84be-eee7cac73ba2,729
2023-03-08,afc803dc-c919-4bb1-b35d-d506f460cfe4,1204
2023-03-09,5b70a7f4-1978-4e1f-820f-5684230521cc,1039
2023-03-09,3bb7355a-efe6-440e-84be-eee7cac73ba2,729
2023-03-09,afc803dc-c919-4bb1-b35d-d506f460cfe4,1204
2023-03-10,5b70a7f4-1978-4e1f-820f-5684230521cc,1041
2023-03-10,3bb7355a-efe6-440e-84be-eee7cac73ba2,730
2023-03-10,afc803dc-c919-4bb1-b35d-d506f460cfe4,1206
2023-03-11,5b70a7f4-1978-4e1f-820f-5684230521cc,1032
2023-03-11,3bb7355a-efe6-440e-84be-eee7cac73ba2,724
2023-03-11,afc803dc-c919-4bb1-b35d-d506f460cfe4,1196
2023-03-12,5b70a7f4-1978-4e1f-820f-5684230521cc,1020
2023-03-12,3bb7355a-efe6-440e-84be-eee7cac73ba2,715
2023-03-12,afc803dc-c919-4bb1-b35d-d506f460cfe4,1182
2023-03-13,5b70a7f4-1978-4e1f-820f-5684230521cc,1002
2023-03-13,3bb7355a-efe6-440e-84be-eee7cac73ba2,703
2023-03-13,afc803dc-c919-4bb1-b35d-d506f460cfe4,1161
2023-03-14,5b70a7f4-1978-4e1f-820f-5684230521cc,1003
2023-03-14,3bb7355a-efe6-440e-84be-eee7cac73ba2,704
2023-03-14,afc803dc-c919-4bb1-b35d-d506f460cfe4,1162
2023-03-15,5b70a7f4-1978-4e1f-820f-5684230521cc,1003
2023-03-15,3bb7355a-efe6-440e-84be-eee7cac73ba2,704
2023-03-15,afc803dc-c919-4bb1-b35d-d506f460cfe4,1162
2023-03-16,5b70a7f4-1978-4e1f-820f-5684230521cc,1005
2023-03-16,3bb7355a-efe6-440e-84be-eee7cac73ba2,705
2023-03-16,afc803dc-c919-4bb1-b35d-d506f460cfe4,1164
2023-03-17,5b70a7f4-1978-4e1f-820f-5684230521cc,1009
2023-03-17,3bb7355a-efe6-440e-84be-eee7cac73ba2,708
2023-03-17,afc803dc-c919-4bb1-b35d-d506f460cfe4,1169
2023-03-18,5b70a7f4-1978-4e1f-820f-5684230521cc,1011
2023-03-18,3bb7355a-efe6-440e-84be-eee7cac73ba2,709
2023-03-18,afc803dc-c919-4bb1-b35d-d506f460cfe4,1171
2023-03-19,5b70a7f4-1978-4e1f-820f-5684230521cc,1011
2023-03-19,3bb7355a-efe6-440e-84be-eee7cac73ba2,709
2023-03-19,afc803dc-c919-4bb1-b35d-d506f460cfe4,1171
2023-03-20,5b70a7f4-1978-4e1f-820f-5684230521cc,1011
2023-03-20,3bb7355a-efe6-440e-84be-eee7cac73ba2,709
2023-03-20,afc803dc-c919-4bb1-b35d-d506f460cfe4,1171
2023-03-21,5b70a7f4-1978-4e1f-820f-5684230521cc,993
2023-03-21,3bb7355a-efe6-440e-84be-eee7cac73ba2,696
2023-03-21,afc803dc-c919-4bb1-b35d-d506f460cfe4,1150
2023-03-22,5b70a7f4-1978-4e1f-820f-5684230521cc,999
2023-03-22,3bb7355a-efe6-440e-84be-eee7cac73ba2,701
2023-03-22,afc803dc-c919-4bb1-b35d-d506f460cfe4,1157
2023-03-23,5b70a7f4-1978-4e1f-820f-5684230521cc,994
2023-03-23,3bb7355a-efe6-440e-84be-eee7cac73ba2,697
2023-03-23,afc803dc-c919-4bb1-b35d-d506f460cfe4,1152
2023-03-24,5b70a7f4-1978-4e1f-820f-5684230521cc,994
2023-03-24,3bb7355a-efe6-440e-84be-eee7cac73ba2,697
2023-03-24,afc803dc-c919-4bb1-b35d-d506f460cfe4,1152
2023-03-25,5b70a7f4-1978-4e1f-820f-5684230521cc,994
2023-03-25,3bb7355a-efe6-440e-84be-eee7cac73ba2,697
2023-03-25,afc803dc-c919-4bb1-b35d-d506f460cfe4,1152
2023-03-26,5b70a7f4-1978-4e1f-820f-5684230521cc,994
2023-03-26,3bb7355a-efe6-440e-84be-eee7cac73ba2,697
2023-03-26,afc803dc-c919-4bb1-b35d-d506f460cfe4,1152
2023-03-27,5b70a7f4-1978-4e1f-820f-5684230521cc,989
2023-03-27,3bb7355a-efe6-440e-84be-eee7cac73ba2,694
2023-03-27,afc803dc-c919-4bb1-b35d-d506f460cfe4,1146
2023-03-28,5b70a7f4-1978-4e1f-820f-5684230521cc,990
2023-03-28,3bb7355a-efe6-440e-84be-eee7cac73ba2,694
2023-03-28,afc803dc-c919-4bb1-b35d-d506f460cfe4,1147
2023-03-29,5b70a7f4-1978-4e1f-820f-5684230521cc,989
2023-03-29,3bb7355a-efe6-440e-84be-eee7cac73ba2,694
2023-03-29,afc803dc-c919-4bb1-b35d-d506f460cfe4,1146
2023-03-30,5b70a7f4-1978-4e1f-820f-5684230521cc,991
2023-03-30,3bb7355a-efe6-440e-84be-eee7cac73ba2,695
2023-03-30,afc803dc-c919-4bb1-b35d-d506f460cfe4,1148
2023-03-31,5b70a7f4-1978-4e1f-820f-5684230521cc,991
2023-03-31,3bb7355a-efe6-440e-84be-eee7cac73ba2,695
2023-03-31,afc803dc-c919-4bb1-b35d-d506f460cfe4,1148
2023-04-01,5b70a7f4-1978-4e1f-820f-5684230521cc,988
2023-04-01,3bb7355a-efe6-440e-84be-eee7cac73ba2,693
2023-04-01,afc803dc-c919-4bb1-b35d-d506f460cfe4,1145
2023-04-02,5b70a7f4-1978-4e1f-820f-5684230521cc,998
2023-04-02,3bb7355a-efe6-440e-84be-eee7cac73ba2,700
2023-04-02,afc803dc-c919-4bb1-b35d-d506f460cfe4,1156
2023-04-03,5b70a7f4-1978-4e1f-820f-5684230521cc,981
2023-04-03,3bb7355a-efe6-440e-84be-eee7cac73ba2,688
2023-04-03,afc803dc-c919-4bb1-b35d-d506f460cfe4,1137
2023-04-04,5b70a7f4-1978-4e1f-820f-5684230521cc,984
2023-04-04,3bb7355a-efe6-440e-84be-eee7cac73ba2,690
2023-04-04,afc803dc-c919-4bb1-b35d-d506f460cfe4,1140
2023-04-05,5b70a7f4-1978-4e1f-820f-5684230521cc,981
2023-04-05,3bb7355a-efe6-440e-84be-eee7cac73ba2,688
2023-04-05,afc803dc-c919-4bb1-b35d-d506f460cfe4,1137
2023-04-06,5b70a7f4-1978-4e1f-820f-5684230521cc,985
2023-04-06,3bb7355a-efe6-440e-84be-eee7cac73ba2,691
2023-04-06,afc803dc-c919-4bb1-b35d-d506f460cfe4,1141
2023-04-07,5b70a7f4-1978-4e1f-820f-5684230521cc,980
2023-04-07,3bb7355a-efe6-440e-84be-eee7cac73ba2,687
2023-04-07,afc803dc-c919-4bb1-b35d-d506f460cfe4,1135
2023-04-08,5b70a7f4-1978-4e1f-820f-5684230521cc,980
2023-04-08,3bb7355a-efe6-440e-84be-eee7cac73ba2,687
2023-04-08,afc803dc-c919-4bb1-b35d-d506f460cfe4,1135
2023-04-09,5b70a7f4-1978-4e1f-820f-5684230521cc,984
2023-04-09,3bb7355a-efe6-440e-84be-eee7cac73ba2,690
2023-04-09,afc803dc-c919-4bb1-b35d-d506f460cfe4,1140
2023-04-10,5b70a7f4-1978-4e1f-820f-5684230521cc,984
2023-04-10,3bb7355a-efe6-440e-84be-eee7cac73ba2,690
2023-04-10,afc803dc-c919-4bb1-b35d-d506f460cfe4,1140
2023-04-11,5b70a7f4-1978-4e1f-820f-5684230521cc,980
2023-04-11,3bb7355a-efe6-440e-84be-eee7cac73ba2,687
2023-04-11,afc803dc-c919-4bb1-b35d-d506f460cfe4,1135
2023-04-12,5b70a7f4-1978-4e1f-820f-5684230521cc,980
2023-04-12,3bb7355a-efe6-440e-84be-eee7cac73ba2,687
2023-04-12,afc803dc-c919-4bb1-b35d-d506f460cfe4,1135
2023-04-13,5b70a7f4-1978-4e1f-820f-5684230521cc,972
2023-04-13,3bb7355a-efe6-440e-84be-eee7cac73ba2,682
2023-04-13,afc803dc-c919-4bb1-b35d-d506f460cfe4,1126
2023-04-14,5b70a7f4-1978-4e1f-820f-5684230521cc,957
2023-04-14,3bb7355a-efe6-440e-84be-eee7cac73ba2,671
2023-04-14,afc803dc-c919-4bb1-b35d-d506f460cfe4,1109
2023-04-15,5b70a7f4-1978-4e1f-820f-5684230521cc,957
2023-04-15,3bb7355a-efe6-440e-84be-eee7cac73ba2,671
2023-04-15,afc803dc-c919-4bb1-b35d-d506f460cfe4,1109
2023-04-16,5b70a7f4-1978-4e1f-820f-5684230521cc,957
2023-04-16,3bb7355a-efe6-440e-84be-eee7cac73ba2,671
2023-04-16,afc803dc-c919-4bb1-b35d-d506f460cfe4,1109
2023-04-17,5b70a7f4-1978-4e1f-820f-5684230521cc,955
2023-04-17,3bb7355a-efe6-440e-84be-eee7cac73ba2,670
2023-04-17,afc803dc-c919-4bb1-b35d-d506f460cfe4,1106
2023-04-18,5b70a7f4-1978-4e1f-820f-5684230521cc,955
2023-04-18,3bb7355a-efe6-440e-84be-eee7cac73ba2,670
2023-04-18,afc803dc-c919-4bb1-b35d-d506f460cfe4,1106
2023-04-19,5b70a7f4-1978-4e1f-820f-5684230521cc,923
2023-04-19,3bb7355a-efe6-440e-84be-eee7cac73ba2,647
